# Wizidagiha i zadspram (WZ-K35-outdated)
# Manuscript: K35
# Text identifier: WZ-K35-outdated
# Text UUID: 7adbb5bd-006f-4f33-83a8-75e650cf2435
# Source: https://www.mpcorpus.org/corpus/sections/7adbb5bd-006f-4f33-83a8-75e650cf2435
# API: https://www.mpcorpus.org/api/sections/?text_identifier=WZ-K35-outdated&type=sentence
# Exported from MPCD public API on 2026-05-26
# Paragraph source: MPCD left sidebar section_type=section
# Format: sentence_identifier<TAB>paragraph<TAB>transcription tokens

WZ-K35-outdated s91	wz 2.18	u =m grift šahr nē mānd kas andar razm az ohrmazd nēmag bē ēk mard kē ēwtāgīhā čē šāyēd kirdan
WZ-K35-outdated s92	wz 2.19	u =š abar frēstād astwihād abāg hazār uzwārdān yaskān ī xwad hēnd wēmārīh ī gōnaggōnag kū =š wēmārēnēnd ud margēnēnd gayōmart
WZ-K35-outdated s93	wz 2.19	u =šān nē windād čārag
WZ-K35-outdated s94	wz 2.19	čē wizir būd ī brīngar zurwān pad bun andar āmadan ī ahreman kū abar ō sīh zamestān gayōmart ī tbk ān ī ǰān bazišn frāz brēhēnam
WZ-K35-outdated s95	wz 2.20	u =š pad spihr būd paydāgīh pad baxšišn ī az kirbakkarān ud bazzakkarān gumēzišnrāyēnišnān
WZ-K35-outdated s96	wz 2.21	u =šān pad ān čim tā uzīdan ī sīh sāl nē ayāft čārag
WZ-K35-outdated s97	wz 2.21	čē pad bun ōwōn bē dād kū ohrmazd stārag zīndagīh tar dām nē xwēšgōhrīhā bē andar band ī rōšnān būdan rāy ud kēwān margīh tar dām
WZ-K35-outdated s98	wz 2.21	harw dō pad bun ī dām pad xwēš bālist būd hēnd čiyōn ohrmazd pad karzang pad ulāmadān ī gyānān =iz xwānīhēd
WZ-K35-outdated s99	wz 2.21	čē gyāg ast ī =š zīndagīh pad =iš baxšīhēd kēwān pad tarāzūg pad mēx ī azēr ī zamīg ī xwad zōr ī margīh pad =iš paydāgtar pādixšāytar bawēd ī harw dō pad bālist būdan rāy gayōmart pad xwēš zīndagīh bē kird
WZ-K35-outdated s100	wz 2.22	ud did tā sīh sāl kēwān abāz ō bālist ī ast tarāzūg nē mad
WZ-K35-outdated s101	wz 2.22	pad ān gāh ka kēwān bē ō tarāzūg mad ohrmazd pad wahīg būd ī =š xwēš nišēb ud abarwēzīh ī kēwān abar ohrmazd rāy gayōmart pad hōy ālag ōbast ud widard
WZ-K35-outdated s102	wz 2.22	abar padīragēstišnīh ī ān āhōgēnišn ī ahreman abar ohrmazd dāmān burd
WZ-K35-outdated s103	wz 3.1	ka hampadisārīg =iz čiyōn =iš dāmān āhōgēnīd ēg =iš pad ān ham dranǰēnīdan xwēš wuzurgxwarrahīh nimūd
WZ-K35-outdated s104	wz 3.2	čē čiyōn andarōn asmān āmad ēg mēnōy ī asmān artēštār homānāg baxt kē ayōšustēn zrēy paymōxt dārēd ī xwad ayōšustēn asmān ast pad burz wāng padist barišn guft ō ahreman kū nūn ka andar āmad hē ā =t abāz nē hilam
WZ-K35-outdated s105	wz 3.2	bē winnard tā ka ohrmazd pērāmōn ī asmān any drubuštīh =ēw ī saxttar bē winnārd ī ašōāgāhīh xwānīhēd
WZ-K35-outdated s106	wz 3.3	u =š ašōān frawahr ī artēštārān pērāmōn ī ān drubuštīh aspbārag nēzagdast ōwōn bē winnārd čiyōn wars abar sar pad homānāgīh ī zēndānbānān kē az bērōn zēndān pāyēnd ud dušmen az andarōn parwastsāmānān bērōn nē hišt āmadan
WZ-K35-outdated s107	wz 3.4	pad ham zamān ahreman kōxšīd kū abāz ō xwēš bunag ī tārīkīh šawēd u =š widarg nē ayāft
WZ-K35-outdated s108	wz 3.4	u =š gumānsahišnīhā bīm ī az frazāmōmandīh ī 9000 sāl sar būdan ī frašegird pad čihr bē ōšmārd
WZ-K35-outdated s109	wz 3.5	čiyōn gōwīhēd pad gāhān kū ēdōn =iz ān ī harw dō mēnōy ō ham mad hēnd ō ān ī ōy ī fradom dahišn kū harw dō mēnōy ō tan ī gayōmart mad hēnd kē =iz pad zīndagīh ohrmazd pad ēd kār kū wēš zīndag dārād kē =iz pad azīndagīh gannāgmēnōy pad ēd kār kū wēš bē ōzanād kē =iz ēdōn ān ast tā ō ān ī abdom andar axwān kū mardōm =iz ī abārīg abar ōh rasēnd
WZ-K35-outdated s110	wz 3.5	ud wattomīh ī druwandān ahreman ud druwandān rāy abesīhišn bē dīd ēdōn ōy ī ahlaw pāšommenišnīh ī ohrmazd ī ēmēd ī hamēyīgīh
WZ-K35-outdated s111	wz 3.6	ēn būd fradom ardīg ī asmānān abāg ahreman
WZ-K35-outdated s112	wz 3.7	čiyōn didīgar ō āb mad ān ham rōz ī andar dwārist asp ī karzang kē ābtōhmag tištar ham spīg ī azarag xwānīhēd abr frāz dād ī pad rōz frōdšudān paydāg čiyōn ulāmadān ī dāmrawāgīh ī karzang axtar būd ī ast axtar ī čahārom ēd rāy čē tīr māh čahārom māh ī az sāl ast
WZ-K35-outdated s113	wz 3.8	tištar wād ō ayārīh xwāst u =š wahman ud hōm pad parwānagīh ud burz ī ābān nāf pad hamayārīh ud ardāfraward pad paymāndārīh abāg hamkārīhīd hēnd
WZ-K35-outdated s114	wz 3.8	pad se kirb wašt ī ast mard kirb gāw kirb asp kirb
WZ-K35-outdated s115	wz 3.8	pad harw kirb =ēw dah šab andar rōšnīh wazīd u =š sīh šab wārān pad zanišn ī xrafstarān abar hišt
WZ-K35-outdated s116	wz 3.9	ud sreškān būd hēnd ǰud ǰud wuzurg tašt kē āb abar āhenǰīhēd
WZ-K35-outdated s117	wz 3.9	pad ān abar bē zanīhist hēnd wispān xrafstarān bē nihang az wayendagān kē andar sūrāg ī zamīg andar šud hēnd
WZ-K35-outdated s118	wz 3.10	pas mēnōy ī wād pad mardēwēnag pad zamīg paydāg būd rōšn ud buland u =š pad ēwēnag ī mōg =ēw ī dārēn pad pāy dāšt
WZ-K35-outdated s119	wz 3.11	čiyōn ǰān ka tan bē ǰumbēnēd tan pad hamzōrīh frāzraftār bawēd ān mēnōy ī wād andar čihrīg wād ī andarwāyīg frāz ǰumbēnīd
WZ-K35-outdated s120	wz 3.11	hamāg zamīg ēwkardagīhā wād frāz wāyīd
WZ-K35-outdated s121	wz 3.12	u =š āb bē mušt u =š bē ō kustān ī zamīg abgand
WZ-K35-outdated s122	wz 3.12	u =š zrēy ī frāxkard az =iš būd ī dārēd se ēk ī ēn zamīg
WZ-K35-outdated s123	wz 3.12	u =š andar bē dārišn hazār čašmag ī xānīgān ī war xwānīhēd hazār ābxānīg kē =š āb az zrēy az war abar āmad frāz aw =iš rēzīhēd
WZ-K35-outdated s124	wz 3.13	harw war =ēw harw ābxān =ēw wuzurgīh ōwōn čand ka aswār =ēw ī tagīg pad asp =ēw ī tāzīg pērāmōn hamē gardēd pad čēhel rōz bē ayābēd ī bawēd hazārnōsadwīst frasang ī agrī ī harw frasang =ēw kamist wīsthazār pay
WZ-K35-outdated s125	wz 3.14	pas ān xrafstarān ī murd hēnd wiš ī az =iš andar zamīg bē gumēxt ān wiš bē zadan rāy tištar andar zrēy frōd šud u =š apaōš dēw padīrag bē tazīd
WZ-K35-outdated s126	wz 3.15	fradom ardīg stōwīh abar tištar būd u =š abar paywahīd ō ohrmazd pad yasn ud niyāyišn ud nāmbarišnīh bē mad zōr ōwōn abar ō tištar burd čand dah asp ī gwšn dah uštar ī gušn dah gāw ī gušn dah kōf ka abganēnd dah rōd ī nāydāg ka pad āgenēn frāz ānayēnd
WZ-K35-outdated s127	wz 3.16	u =š pad stōwīh bē rānēnēd apaōš dēw u =š abāz dāšt az čašmagān ī zrēy
WZ-K35-outdated s128	wz 3.16	u =š pad ǰām ī abarnihumb =ēw ī paymānag kē frawahrān dāštan xwēškārīh čand wēšist āb abar āhext ud čand škefttar pad zanišn abar wārānēnīd sreškān ī čand mard sar ud gāw sar meh ud keh
WZ-K35-outdated s129	wz 3.17	andar ān abr ud wārān būd tazišn ud pahikafišn ī tištar ud ātaxš ī wāzišt pad hamēstārīh ī apaōš ud spinǰagr
WZ-K35-outdated s130	wz 3.17	ātaxš ī wāzišt pad ātaxšānwazr bē zad spinǰagr andar abrān
WZ-K35-outdated s131	wz 3.17	dah rōzšabān wārān būd u =š pad =iš widāzīhist wiš ī xrafstarān
WZ-K35-outdated s132	wz 3.17	pas wād bē rānēnēd ō kanārag ī zrēy ī frāxkard
WZ-K35-outdated s133	wz 3.17	ō se bē baxšīhist u =š se zrēy az =iš būd ī xwānīhēd pūdīg kamrōd ud syāwbun
WZ-K35-outdated s134	wz 3.18	az awēšān pūidīg xwad drayāb ī sōr ast kē =š purr ōgār pad =iš bawēd u =š band ī purr ud ōgār paywast ō māh
WZ-K35-outdated s135	wz 3.18	u =š hamē wardišn pad ulāmadān frōdšudān ī māh pad =iš paydāgīhīd
WZ-K35-outdated s136	wz 3.19	frāxkard pad kustag ī nēmrōz pad harburz frāz ēstēd u =š pūidīg hamsāmān ēstēd u =šān mayān war ī sadwēs kē band ō sadwēs kē kustag ī nēmrōz zrēy andar xwēškārīh ud māh kē wardišn ī harw ērān andar abzāyišn ud kāhišn purr ud ōgār hēnd
WZ-K35-outdated s137	wz 3.20	pāymār az pēš ī māh dō wād frāz tazēnd ī andar sadwēs mānist dārēnd ēk ulāhang ud ēk frōdāhang
WZ-K35-outdated s138	wz 3.20	pad ān ī ulāhang bawēd purr ud pad ān ī frōdāhang bawēd ōgār
WZ-K35-outdated s139	wz 3.21	ud sadwēs war ast xwad pahlūg ī zrēy ī frāxkard čē ayōǰdahrīh ud stabrīh ī az drayāb ī sōr ka andar ō frāxkard hamē šawēd pad wād ī wuzurg ud buland =ēw abāz zanēd tā ān ī rōšn pad pākīh andar ō frāxkard ud čašmagān ī ardīwsūr šawēd
WZ-K35-outdated s140	wz 3.22	ǰud az ēn se zrēy ī keh
WZ-K35-outdated s141	wz 3.22	u =š pas tazēnīd az harburz az abāxtar kanārag dō rōd ī arwand ud weh ud arwand ast diglit taǰan ō frōdšudān ud wehrōd ō ulāmadān būd
WZ-K35-outdated s142	wz 3.22	pad dō sar bē gašt bē ō zrēy šud hēnd
WZ-K35-outdated s143	wz 3.23	pas az awēšān haštdah rōd ī wuzurg az ham harburz bē āmad hēnd
WZ-K35-outdated s144	wz 3.23	ēn wīst rōd kē =šān bunxān pad harburz andar zamīg frōd šawēnd ud andar xwaniras abāz ō āškārīh rasēnd
WZ-K35-outdated s145	wz 3.24	pas dō čašm ī zrēy bē ō zamīg wišāyīhist ī xwānīhist čēčast war ī dūr ī garmōgābag ud ǰuddad kē =š pad bār nišīnēd ādur ī gušnasp ī pērōzgar
WZ-K35-outdated s146	wz 3.24	ud didīgar sōr kē harw stabrīh bē kustān abganēd ud xwēš grīw rōšn ud pāk dārēd čē handāzag homānāg ī čašm =ēw ast kē harw gardīh ud harw rēmanīh bē ō kustān abganēd
WZ-K35-outdated s147	wz 3.24	u =š zufrīh rāy bē ō bun nē ayābīhēd čē andar ō zrēy šawēd
WZ-K35-outdated s148	wz 3.24	u =š pad nazdīkīh nišīnēd ādur sūdīgmihr ud burzēnmihr
WZ-K35-outdated s149	wz 3.25	ēn būd didīgar ardīg ī abāg āb
WZ-K35-outdated s150	wz 3.26	čiyōn sidīgar ō zamīg mad ī =š padīrag ham zamīg bē winnārd
WZ-K35-outdated s151	wz 3.27	čiyōn pad škastan ud zēnēnīdan ī zamīg abar rust harburz ī zamīg kanārag ud abārīg kōfān ī mayān girdagīh ī zamīg abar āmad pad mar dōhazārdōsadčēhelčahār u =š zamīg pad =iš hambandwinnārišnīg u =š urwarān abar rōyišn ud waxšišn u =š gōspandān az =iš parwarišn u =š mardōmān az =iš wuzurg sūd ud ayārīh būd
WZ-K35-outdated s152	wz 3.28	ōwōn paydāg kū pēš az ēbgad ō dām madan pad hazār sāl gōhr ī kōf andar zamīg dād ēstād nāmčišt čiyōn petyārag bē ō zamīg mad pad wizendag bē waxšīd abar zamīg abar āmad čiyōn draxt homānāg kē tāg ō abar waxšēd u =š rēšag ō azēr
WZ-K35-outdated s153	wz 3.29	rēšag ī kōfān ēk ō did bē widārīhist pad hambandīh bē winnārīhist u =š rāh ī widarg ī āb azēr ud abar pad =iš bē dahīhist kū =š āb pad =iš ōwōn homānāg tazēnd čiyōn xōn andar ragān az hamāg tan ō ǰagar zōr ud āhang dārēnd
WZ-K35-outdated s154	wz 3.30	pad 18 sāl hammis hamāg kōfān ī ǰud az harburz frazāmīg būd hēnd
WZ-K35-outdated s155	wz 3.31	harburz tā haštsad sāl hamē rust pad dwēsad sāl tā ō starpāyag pad dwēsad sāl tā ō māhpāyag pad dwēsad sāl tā ō xwaršēdpāyag pad dwēsad sāl tā ō asmān rust
WZ-K35-outdated s156	wz 3.32	pas az harburz abarsēnkōf ī meh čiyōn abursān =iz xwānīhēd kē =š bun pad sagestān u =š sar pad wimand ī pārs ō čīnestān
WZ-K35-outdated s157	wz 3.33	ēn =iz paydāg kū pas az wārān ī wuzurg ī pad bun ī dām pad bē muštan ī wād āb ō zrēy zamīg pad haft pārag andak =ēw azabar čiyōn ka zamīg pas az wārān pad ēwāz wād gyāg gyāg bē darrīhist pārag =ēw ī čand nēmag =ēw ī hamāg zamīg az mayānag wisist anī ī pērāmōn pad šaš pārag bē wisist hāwand paymān
WZ-K35-outdated s158	wz 3.34	xwānīhistan ī kišwar pad ān čim pad kēš ēk az did paydāg bawēd
WZ-K35-outdated s159	wz 3.35	pērāmōn xwaniras kē pārag ī mayānag ast ān šaš kišwar abesar homānāg
WZ-K35-outdated s160	wz 3.35	bahr =ēw az zrēy ī frāxkard pērāmōn ān gašt mayān ī ān šaš kišwar
